Estaciones;Fechas;Parametros;Valores
Ar-01;1/01/2020;SO2;13
Ar-01;1/02/2020;SO2;13
Ar-01;1/03/2020;SO2;13
Ar-01;1/07/2020;SO2;13
Ar-01;1/08/2020;SO2;13
Ar-01;1/09/2020;SO2;13
Ar-01;1/10/2020;SO2;13
Ar-01;1/11/2020;SO2;13
Ar-01;1/12/2020;SO2;13
Ar-01;1/01/2021;SO2;13
Ar-01;1/02/2021;SO2;13
Ar-01;1/03/2021;SO2;13
Ar-01;1/04/2021;SO2;13
Ar-01;1/05/2021;SO2;13
Ar-01;1/06/2021;SO2;13
Ar-01;1/07/2021;SO2;13
Ar-01;1/08/2021;SO2;13
Ar-01;1/09/2021;SO2;13
Ar-01;1/10/2021;SO2;13
Ar-01;1/11/2021;SO2;13
Ar-01;1/12/2021;SO2;13
Ar-01;1/01/2022;SO2;13
Ar-01;1/02/2022;SO2;13
Ar-01;1/03/2022;SO2;13
Ar-01;1/04/2022;SO2;13
Ar-01;1/05/2022;SO2;13
Ar-01;1/06/2022;SO2;13
Ar-01;1/07/2022;SO2;13
Ar-01;1/08/2022;SO2;13
Ar-01;1/09/2022;SO2;13
Ar-01;1/10/2022;SO2;13
Ar-01;1/11/2022;SO2;13
Ar-01;1/12/2022;SO2;13
Ar-01;1/01/2023;SO2;13
Ar-01;1/02/2023;SO2;13
Ar-01;1/03/2023;SO2;13
Ar-01;1/04/2023;SO2;13
Ar-01;1/05/2023;SO2;13
Ar-01;1/06/2023;SO2;13
Ar-01;1/07/2023;SO2;13
Ar-01;1/08/2023;SO2;13
Ar-01;1/09/2023;SO2;13
Ar-01;1/10/2023;SO2;13
Ar-01;1/11/2023;SO2;13
Ar-01;1/12/2023;SO2;13
Ar-01;1/01/2024;SO2;13
Ar-01;1/02/2024;SO2;13
Ar-01;1/03/2024;SO2;13
Ar-01;1/04/2024;SO2;13
Ar-01;1/05/2024;SO2;13
Ar-01;1/06/2024;SO2;13
Ar-01;1/07/2024;SO2;13
Ar-01;1/08/2024;SO2;13
Ar-01;1/09/2024;SO2;13
Ar-01;1/10/2024;SO2;13
Ar-01;1/11/2024;SO2;13
Ar-01;1/12/2024;SO2;13
Ar-01;1/01/2025;SO2;13
Ar-01;1/02/2025;SO2;13
Ar-01;1/03/2025;SO2;13
Ar-01;1/04/2025;SO2;13
Ar-01;1/05/2025;SO2;13
Ar-01;1/06/2025;SO2;13
Ar-02;1/01/2020;SO2;13
Ar-02;1/02/2020;SO2;13
Ar-02;1/03/2020;SO2;13
Ar-02;1/07/2020;SO2;13
Ar-02;1/08/2020;SO2;13
Ar-02;1/09/2020;SO2;13
Ar-02;1/10/2020;SO2;13
Ar-02;1/11/2020;SO2;13
Ar-02;1/12/2020;SO2;13
Ar-02;1/01/2021;SO2;13
Ar-02;1/02/2021;SO2;13
Ar-02;1/03/2021;SO2;13
Ar-02;1/04/2021;SO2;13
Ar-02;1/05/2021;SO2;13
Ar-02;1/06/2021;SO2;13
Ar-02;1/07/2021;SO2;13
Ar-02;1/08/2021;SO2;13
Ar-02;1/09/2021;SO2;13
Ar-02;1/10/2021;SO2;13
Ar-02;1/11/2021;SO2;13
Ar-02;1/12/2021;SO2;13
Ar-02;1/01/2022;SO2;13
Ar-02;1/02/2022;SO2;13
Ar-02;1/03/2022;SO2;13
Ar-02;1/04/2022;SO2;13
Ar-02;1/05/2022;SO2;13
Ar-02;1/06/2022;SO2;13
Ar-02;1/07/2022;SO2;13
Ar-02;1/08/2022;SO2;13
Ar-02;1/09/2022;SO2;13
Ar-02;1/10/2022;SO2;13
