Estaciones;Fecha;Parametros;Valores
EF-IND-01;1/01/2020;pH-Inf;6.7
EF-IND-01;1/02/2020;pH-Inf;7.4
EF-IND-01;1/03/2020;pH-Inf;
EF-IND-01;1/07/2020;pH-Inf;
EF-IND-01;1/08/2020;pH-Inf;
EF-IND-01;1/09/2020;pH-Inf;
EF-IND-01;1/10/2020;pH-Inf;8.66
EF-IND-01;1/11/2020;pH-Inf;
EF-IND-01;1/01/2020;pH-Sup;6.7
EF-IND-01;1/02/2020;pH-Sup;7.4
EF-IND-01;1/03/2020;pH-Sup;
EF-IND-01;1/07/2020;pH-Sup;
EF-IND-01;1/08/2020;pH-Sup;
EF-IND-01;1/09/2020;pH-Sup;
EF-IND-01;1/10/2020;pH-Sup;8.66
EF-IND-01;1/11/2020;pH-Sup;
EF-IND-01;1/01/2020;STS;12
EF-IND-01;1/02/2020;STS;8
EF-IND-01;1/03/2020;STS;
EF-IND-01;1/07/2020;STS;
EF-IND-01;1/08/2020;STS;
EF-IND-01;1/09/2020;STS;5
EF-IND-01;1/10/2020;STS;5
EF-IND-01;1/11/2020;STS;
EF-IND-01;1/01/2020;AyG;0.5
EF-IND-01;1/02/2020;AyG;0.5
EF-IND-01;1/03/2020;AyG;
EF-IND-01;1/07/2020;AyG;
EF-IND-01;1/08/2020;AyG;
EF-IND-01;1/09/2020;AyG;0.5
EF-IND-01;1/10/2020;AyG;0.5
EF-IND-01;1/11/2020;AyG;
EF-IND-01;1/01/2020;Cin;0.005
EF-IND-01;1/02/2020;Cin;0.0053
EF-IND-01;1/03/2020;Cin;
EF-IND-01;1/07/2020;Cin;
EF-IND-01;1/08/2020;Cin;
EF-IND-01;1/09/2020;Cin;0.005
EF-IND-01;1/10/2020;Cin;0.005
EF-IND-01;1/11/2020;Cin;
EF-IND-01;1/01/2020;As;0.008
EF-IND-01;1/02/2020;As;0.008
EF-IND-01;1/03/2020;As;
EF-IND-01;1/07/2020;As;
EF-IND-01;1/08/2020;As;
EF-IND-01;1/09/2020;As;0.008
EF-IND-01;1/10/2020;As;0.008
EF-IND-01;1/11/2020;As;
EF-IND-01;1/01/2020;Cd;0.001
EF-IND-01;1/02/2020;Cd;0.025
EF-IND-01;1/03/2020;Cd;
EF-IND-01;1/07/2020;Cd;
EF-IND-01;1/08/2020;Cd;
EF-IND-01;1/09/2020;Cd;0.015
EF-IND-01;1/10/2020;Cd;0.011
EF-IND-01;1/11/2020;Cd;
EF-IND-01;1/01/2020;Cr+6;0.04
EF-IND-01;1/02/2020;Cr+6;0.01
EF-IND-01;1/03/2020;Cr+6;
EF-IND-01;1/07/2020;Cr+6;
EF-IND-01;1/08/2020;Cr+6;
EF-IND-01;1/09/2020;Cr+6;0.01
EF-IND-01;1/10/2020;Cr+6;0.01
EF-IND-01;1/11/2020;Cr+6;
EF-IND-01;1/01/2020;Cu;0.003
EF-IND-01;1/02/2020;Cu;0.003
EF-IND-01;1/03/2020;Cu;
EF-IND-01;1/07/2020;Cu;
EF-IND-01;1/08/2020;Cu;
EF-IND-01;1/09/2020;Cu;0.003
EF-IND-01;1/10/2020;Cu;0.003
EF-IND-01;1/11/2020;Cu;
EF-IND-01;1/01/2020;Fe;0.01
EF-IND-01;1/02/2020;Fe;0.1
EF-IND-01;1/03/2020;Fe;
EF-IND-01;1/07/2020;Fe;
EF-IND-01;1/08/2020;Fe;
EF-IND-01;1/09/2020;Fe;0.01
EF-IND-01;1/10/2020;Fe;0.05
EF-IND-01;1/11/2020;Fe;
EF-IND-01;1/01/2020;Pb;0.01
EF-IND-01;1/02/2020;Pb;0.06
EF-IND-01;1/03/2020;Pb;
EF-IND-01;1/07/2020;Pb;
EF-IND-01;1/08/2020;Pb;
EF-IND-01;1/09/2020;Pb;0.01
EF-IND-01;1/10/2020;Pb;0.01
EF-IND-01;1/11/2020;Hg;
EF-IND-01;1/01/2020;Hg;0.000
EF-IND-01;1/02/2020;Hg;0.0002
EF-IND-01;1/03/2020;Hg;
EF-IND-01;1/07/2020;Hg;
EF-IND-01;1/08/2020;Hg;
EF-IND-01;1/09/2020;Hg;
EF-IND-01;1/10/2020;Hg;0.002
EF-IND-01;1/11/2020;Hg;
EF-IND-01;1/01/2020;Hg;0.009
EF-IND-01;1/02/2020;Zn;0.383
EF-IND-01;1/03/2020;Zn;
EF-IND-01;1/07/2020;Zn;
EF-IND-01;1/08/2020;Zn;
EF-IND-01;1/09/2020;Zn;0.322
EF-IND-01;1/10/2020;Zn;0.198
EF-IND-01;1/11/2020;Zn;
