Estaciones;Fecha;Parametro;Valores
RUI-01;1/01/2020;Industrial;58.9
RUI-01;1/02/2020;Industrial;56.4
RUI-01;1/03/2020;Industrial;52.4
RUI-01;1/07/2020;Industrial;52.1
RUI-01;1/08/2020;Industrial;45.0
RUI-01;1/09/2020;Industrial;51.2
RUI-01;1/10/2020;Industrial;51.1
RUI-01;1/11/2020;Industrial;53.6
RUI-01;1/12/2020;Industrial;60.2
RUI-01;1/01/2021;Industrial;60.6
RUI-01;1/02/2021;Industrial;50.4
RUI-01;1/03/2021;Industrial;62.4
RUI-01;1/04/2021;Industrial;59.8
RUI-01;1/05/2021;Industrial;60.8
RUI-01;1/06/2021;Industrial;60.9
RUI-01;1/07/2021;Industrial;59.4
RUI-01;1/08/2021;Industrial;49.2
RUI-01;1/09/2021;Industrial;58.4
RUI-01;1/10/2021;Industrial;62.8
RUI-01;1/11/2021;Industrial;64.2
RUI-01;1/12/2021;Industrial;59.6
RUI-01;1/01/2022;Industrial;58.6
RUI-01;1/02/2022;Industrial;57.8
RUI-01;1/03/2022;Industrial;61.2
RUI-01;1/04/2022;Industrial;57.4
RUI-01;1/05/2022;Industrial;56.2
RUI-01;1/06/2022;Industrial;57.2
RUI-01;1/07/2022;Industrial;43.2
RUI-01;1/08/2022;Industrial;55.9
RUI-01;1/09/2022;Industrial;53.9
RUI-01;1/10/2022;Industrial;52.1
RUI-01;1/11/2022;Industrial;56.8
RUI-01;1/12/2022;Industrial;61.5
RUI-01;1/01/2023;Industrial;59.2
RUI-01;1/02/2023;Industrial;51.7
RUI-01;1/03/2023;Industrial;49.9
RUI-01;1/04/2023;Industrial;47.1
RUI-01;1/05/2023;Industrial;45.6
RUI-01;1/06/2023;Industrial;41.4
RUI-01;1/07/2023;Industrial;39.8
RUI-01;1/08/2023;Industrial;58.4
RUI-01;1/09/2023;Industrial;47.4
RUI-01;1/10/2023;Industrial;45.4
RUI-01;1/11/2023;Industrial;52.9
RUI-01;1/12/2023;Industrial;53.8
RUI-01;1/01/2024;Industrial;63.9
RUI-01;1/02/2024;Industrial;56.2
RUI-01;1/03/2024;Industrial;54.0
RUI-01;1/04/2024;Industrial;53.7
RUI-01;1/05/2024;Industrial;47.3
RUI-01;1/06/2024;Industrial;44.6
RUI-01;1/07/2024;Industrial;55.1
RUI-01;1/08/2024;Industrial;57.0
RUI-01;1/09/2024;Industrial;53.7
RUI-01;1/10/2024;Industrial;53.4
RUI-01;1/11/2024;Industrial;49.6
RUI-01;1/12/2024;Industrial;50.2
RUI-01;1/01/2025;Industrial;49.0
RUI-01;1/02/2025;Industrial;58.9
RUI-01;1/03/2025;Industrial;57.2
RUI-01;1/04/2025;Industrial;54.5
RUI-01;1/05/2025;Industrial;54.5
RUI-01;1/06/2025;Industrial;58.3
RUI-03;1/01/2020;Industrial;51.4
RUI-03;1/02/2020;Industrial;54.6
RUI-03;1/03/2020;Industrial;50.2
RUI-03;1/07/2020;Industrial;57.6
RUI-03;1/08/2020;Industrial;43.6
RUI-03;1/09/2020;Industrial;60.5
RUI-03;1/10/2020;Industrial;53.9
RUI-03;1/11/2020;Industrial;54.0
RUI-03;1/12/2020;Industrial;60.8
RUI-03;1/01/2021;Industrial;60.1
RUI-03;1/02/2021;Industrial;50.6
RUI-03;1/03/2021;Industrial;57.4
RUI-03;1/04/2021;Industrial;56.8
RUI-03;1/05/2021;Industrial;59.8
RUI-03;1/06/2021;Industrial;60.9
RUI-03;1/07/2021;Industrial;37.1
RUI-03;1/08/2021;Industrial;61.7
RUI-03;1/09/2021;Industrial;62.6
RUI-03;1/10/2021;Industrial;58.9
RUI-03;1/11/2021;Industrial;56.4
RUI-03;1/12/2021;Industrial;64.6
RUI-03;1/01/2022;Industrial;62.4
RUI-03;1/02/2022;Industrial;64.3
RUI-03;1/03/2022;Industrial;57.3
RUI-03;1/04/2022;Industrial;60.7
RUI-03;1/05/2022;Industrial;59.3
RUI-03;1/06/2022;Industrial;59.9
RUI-03;1/07/2022;Industrial;53.8
RUI-03;1/08/2022;Industrial;58.4
RUI-03;1/09/2022;Industrial;58.6
RUI-03;1/10/2022;Industrial;57.4
RUI-03;1/11/2022;Industrial;61.3
RUI-03;1/12/2022;Industrial;64.1
RUI-03;1/01/2023;Industrial;59.3
RUI-03;1/02/2023;Industrial;59.0
RUI-03;1/03/2023;Industrial;55.0
RUI-03;1/04/2023;Industrial;43.1
RUI-03;1/05/2023;Industrial;44.5
RUI-03;1/06/2023;Industrial;43.0
RUI-03;1/07/2023;Industrial;43.4
RUI-03;1/08/2023;Industrial;50.9
RUI-03;1/09/2023;Industrial;44.1
RUI-03;1/10/2023;Industrial;43.9
RUI-03;1/11/2023;Industrial;56.1
RUI-03;1/12/2023;Industrial;60.1
RUI-03;1/01/2024;Industrial;65.2
RUI-03;1/02/2024;Industrial;56.1
RUI-03;1/03/2024;Industrial;53.9
RUI-03;1/04/2024;Industrial;54.4
RUI-03;1/05/2024;Industrial;39.3
RUI-03;1/06/2024;Industrial;43.1
RUI-03;1/07/2024;Industrial;57.2
RUI-03;1/08/2024;Industrial;58.3
RUI-03;1/09/2024;Industrial;57.2
RUI-03;1/10/2024;Industrial;55.6
RUI-03;1/11/2024;Industrial;54.9
RUI-03;1/12/2024;Industrial;57.4
RUI-03;1/01/2025;Industrial;54.4
RUI-03;1/02/2025;Industrial;61.8
RUI-03;1/03/2025;Industrial;60.9
RUI-03;1/04/2025;Industrial;58.2
RUI-03;1/05/2025;Industrial;57.2
RUI-03;1/06/2025;Industrial;58
