Estaciones;Fecha;Parametro;Valores
SED-01;1/09/2020;As;13912.7
SED-01;1/01/2021;As;12003
SED-02;1/09/2020;As;442
SED-02;1/01/2021;As;1145.2
SED-03;1/09/2020;As;1373
SED-03;1/01/2021;As;1440.8
SED-04;1/09/2020;As;
SED-04;1/01/2021;As;771.9
SED-05;1/09/2020;As;2466.8
SED-05;1/01/2021;As;1720.9
SED-06;1/09/2020;As;
SED-06;1/01/2021;As;64443.1
SED-07;1/09/2020;As;
SED-07;1/01/2021;As;8299.5
SED-08;1/09/2020;As;
SED-08;1/01/2021;As;174.6
SED-09;1/09/2020;As;
SED-09;1/01/2021;As;730.4
SED-10;1/09/2020;As;1382.9
SED-10;1/01/2021;As;1548.2
SED-01;1/09/2020;Cd;4.2
SED-01;1/01/2021;Cd;1.72
SED-02;1/09/2020;Cd;0.81
SED-02;1/01/2021;Cd;10.04
SED-03;1/09/2020;Cd;3.8
SED-03;1/01/2021;Cd;4.73
SED-04;1/09/2020;Cd;
SED-04;1/01/2021;Cd;10.25
SED-05;1/09/2020;Cd;9.15
SED-05;1/01/2021;Cd;10.65
SED-06;1/09/2020;Cd;
SED-06;1/01/2021;Cd;4.45
SED-07;1/09/2020;Cd;
SED-07;1/01/2021;Cd;8.45
SED-08;1/09/2020;Cd;
SED-08;1/01/2021;Cd;0.66
SED-09;1/09/2020;Cd;
SED-09;1/01/2021;Cd;3.49
SED-10;1/09/2020;Cd;20.65
SED-10;1/01/2021;Cd;16.98
SED-01;1/09/2020;Cu;1930
SED-01;1/01/2021;Cu;1650
SED-02;1/09/2020;Cu;40.5
SED-02;1/01/2021;Cu;79.7
SED-03;1/09/2020;Cu;119
SED-03;1/01/2021;Cu;93.1
SED-04;1/09/2020;Cu;
SED-04;1/01/2021;Cu;83.6
SED-05;1/09/2020;Cu;99.9
SED-05;1/01/2021;Cu;481
SED-06;1/09/2020;Cu;
SED-06;1/01/2021;Cu;452
SED-07;1/09/2020;Cu;
SED-07;1/01/2021;Cu;2630
SED-08;1/09/2020;Cu;
SED-08;1/01/2021;Cu;13.2
SED-09;1/09/2020;Cu;
SED-09;1/01/2021;Cu;31.9
SED-10;1/09/2020;Cu;768
SED-10;1/01/2021;Cu;662
SED-01;1/09/2020;Cr;4.1
SED-01;1/01/2021;Cr;4.3
SED-02;1/09/2020;Cr;4.7
SED-02;1/01/2021;Cr;5.9
SED-03;1/09/2020;Cr;6.8
SED-03;1/01/2021;Cr;6.2
SED-04;1/09/2020;Cr;
SED-04;1/01/2021;Cr;6.5
SED-05;1/09/2020;Cr;5.5
SED-05;1/01/2021;Cr;5.2
SED-06;1/09/2020;Cr;
SED-06;1/01/2021;Cr;1.9
SED-07;1/09/2020;Cr;
SED-07;1/01/2021;Cr;7
SED-08;1/09/2020;Cr;
SED-08;1/01/2021;Cr;4
SED-09;1/09/2020;Cr;
SED-09;1/01/2021;Cr;5.5
SED-10;1/09/2020;Cr;4.7
SED-10;1/01/2021;Cr;6.2
SED-01;1/09/2020;Hg;0.2
SED-01;1/01/2021;Hg;0.4
SED-02;1/09/2020;Hg;0.01
SED-02;1/01/2021;Hg;0.3
SED-03;1/09/2020;Hg;5.2
SED-03;1/01/2021;Hg;2.6
SED-04;1/09/2020;Hg;
SED-04;1/01/2021;Hg;0.26
SED-05;1/09/2020;Hg;0.2
SED-05;1/01/2021;Hg;0.6
SED-06;1/09/2020;Hg;
SED-06;1/01/2021;Hg;0.44
SED-07;1/09/2020;Hg;
SED-07;1/01/2021;Hg;0.45
SED-08;1/09/2020;Hg;
SED-08;1/01/2021;Hg;0.4
SED-09;1/09/2020;Hg;
SED-09;1/01/2021;Hg;0.49
SED-10;1/09/2020;Hg;0.01
SED-10;1/01/2021;Hg;0.3
SED-01;1/09/2020;Pb;121.3
SED-01;1/01/2021;Pb;131.9
SED-02;1/09/2020;Pb;249.8
SED-02;1/01/2021;Pb;521.3
SED-03;1/09/2020;Pb;1043.2
SED-03;1/01/2021;Pb;679
SED-04;1/09/2020;Pb;
SED-04;1/01/2021;Pb;204.6
SED-05;1/09/2020;Pb;874.4
SED-05;1/01/2021;Pb;1796.8
SED-06;1/09/2020;Pb;
SED-06;1/01/2021;Pb;855.5
SED-07;1/09/2020;Pb;
SED-07;1/01/2021;Pb;832.2
SED-08;1/09/2020;Pb;
SED-08;1/01/2021;Pb;161.6
SED-09;1/09/2020;Pb;
SED-09;1/01/2021;Pb;384.6
SED-10;1/09/2020;Pb;370.3
SED-10;1/01/2021;Pb;527.3
SED-01;1/09/2020;Zn;1177.1
SED-01;1/01/2021;Zn;526.1
SED-02;1/09/2020;Zn;237.8
SED-02;1/01/2021;Zn;1714.7
SED-03;1/09/2020;Zn;618
SED-03;1/01/2021;Zn;766.1
SED-04;1/09/2020;Zn;
SED-04;1/01/2021;Zn;728.4
SED-05;1/09/2020;Zn;1446.1
SED-05;1/01/2021;Zn;1429.4
SED-06;1/09/2020;Zn;
SED-06;1/01/2021;Zn;305.6
SED-07;1/09/2020;Zn;
SED-07;1/01/2021;Zn;829.8
SED-08;1/09/2020;Zn;
SED-08;1/01/2021;Zn;150.3
SED-09;1/09/2020;Zn;
SED-09;1/01/2021;Zn;744.3
SED-10;1/09/2020;Zn;1104.2
SED-10;1/01/2021;Zn;948.4
