Estaciones;Fecha;Parametro;Valores
SUE-01;1/07/2020;Ar;230.9
SUE-01;1/07/2020;Ba ;69
SUE-01;1/07/2020;Cd;1.21
SUE-01;1/07/2020;Cr tot;7.6
SUE-01;1/07/2020;Cr VI;0.4
SUE-01;1/07/2020;Hg;0.13
SUE-01;1/07/2020;Pb;148.7
SUE-01;1/07/2020;CN ;0.5
SUE-01;1/11/2021;Ar;347.9
SUE-01;1/11/2021;Ba ;82
SUE-01;1/11/2021;Cd;1.43
SUE-01;1/11/2021;Cr tot;27.9
SUE-01;1/11/2021;Cr VI;0.3
SUE-01;1/11/2021;Hg;0.14
SUE-01;1/11/2021;Pb;407.3
SUE-01;1/11/2021;CN ;0.5
SUE-01;1/11/2022;Ar;310
SUE-01;1/11/2022;Ba ;63
SUE-01;1/11/2022;Cd;730
SUE-01;1/11/2022;Cr tot;18.2
SUE-01;1/11/2022;Cr VI;0.3
SUE-01;1/11/2022;Hg;0.18
SUE-01;1/11/2022;Pb;353.2
SUE-01;1/11/2022;CN ;0.5
SUE-01;1/11/2023;Ar;393.9
SUE-01;1/11/2023;Ba ;60
SUE-01;1/11/2023;Cd;2086
SUE-01;1/11/2023;Cr tot;39.2
SUE-01;1/11/2023;Cr VI;0.3
SUE-01;1/11/2023;Hg;0.14
SUE-01;1/11/2023;Pb;302.6
SUE-01;1/11/2023;CN ;0.5
SUE-01;1/11/2024;Ar;139.6
SUE-01;1/11/2024;Ba ;83
SUE-01;1/11/2024;Cd;0.72
SUE-01;1/11/2024;Cr tot;13.8
SUE-01;1/11/2024;Cr VI;0.3
SUE-01;1/11/2024;Hg;0.2
SUE-01;1/11/2024;Pb;150.3
SUE-01;1/11/2024;CN ;0.5
SUE-02;1/07/2020;Ar;544.5
SUE-02;1/07/2020;Ba ;42
SUE-02;1/07/2020;Cd;2.13
SUE-02;1/07/2020;Cr tot;5.4
SUE-02;1/07/2020;Cr VI;0.4
SUE-02;1/07/2020;Hg;0.15
SUE-02;1/07/2020;Pb;1077.7
SUE-02;1/07/2020;CN ;0.5
SUE-02;1/11/2021;Ar;492.2
SUE-02;1/11/2021;Ba ;34
SUE-02;1/11/2021;Cd;1.65
SUE-02;1/11/2021;Cr tot;5.5
SUE-02;1/11/2021;Cr VI;0.3
SUE-02;1/11/2021;Hg;0.24
SUE-02;1/11/2021;Pb;1934.3
SUE-02;1/11/2021;CN ;0.5
SUE-02;1/11/2022;Ar;311.5
SUE-02;1/11/2022;Ba ;19
SUE-02;1/11/2022;Cd;257
SUE-02;1/11/2022;Cr tot;3.3
SUE-02;1/11/2022;Cr VI;0.3
SUE-02;1/11/2022;Hg;0.22
SUE-02;1/11/2022;Pb;750.3
SUE-02;1/11/2022;CN ;0.5
SUE-02;1/11/2023;Ar;539.1
SUE-02;1/11/2023;Ba ;26
SUE-02;1/11/2023;Cd;424
SUE-02;1/11/2023;Cr tot;6.4
SUE-02;1/11/2023;Cr VI;0.3
SUE-02;1/11/2023;Hg;0.17
SUE-02;1/11/2023;Pb;1238.1
SUE-02;1/11/2023;CN ;0.5
SUE-02;1/11/2024;Ar;392.1
SUE-02;1/11/2024;Ba ;71
SUE-02;1/11/2024;Cd;2.1
SUE-02;1/11/2024;Cr tot;9
SUE-02;1/11/2024;Cr VI;0.3
SUE-02;1/11/2024;Hg;0.25
SUE-02;1/11/2024;Pb;824.4
SUE-02;1/11/2024;CN ;0.5
SUE-03;1/07/2020;Ar;129.7
SUE-03;1/07/2020;Ba ;36
SUE-03;1/07/2020;Cd;0.81
SUE-03;1/07/2020;Cr tot;7.9
SUE-03;1/07/2020;Cr VI;0.4
SUE-03;1/07/2020;Hg;0.08
SUE-03;1/07/2020;Pb;104.8
SUE-03;1/07/2020;CN ;0.5
SUE-03;1/11/2021;Ar;97.9
SUE-03;1/11/2021;Ba ;46
SUE-03;1/11/2021;Cd;0.9
SUE-03;1/11/2021;Cr tot;4
SUE-03;1/11/2021;Cr VI;0.3
SUE-03;1/11/2021;Hg;0.13
SUE-03;1/11/2021;Pb;223.9
SUE-03;1/11/2021;CN ;0.5
SUE-03;1/11/2022;Ar;143.3
SUE-03;1/11/2022;Ba ;97
SUE-03;1/11/2022;Cd;678
SUE-03;1/11/2022;Cr tot;2.1
SUE-03;1/11/2022;Cr VI;0.3
SUE-03;1/11/2022;Hg;0.14
SUE-03;1/11/2022;Pb;63.2
SUE-03;1/11/2022;CN ;0.5
SUE-03;1/11/2023;Ar;187.4
SUE-03;1/11/2023;Ba ;99
SUE-03;1/11/2023;Cd;1087
SUE-03;1/11/2023;Cr tot;3.1
SUE-03;1/11/2023;Cr VI;0.3
SUE-03;1/11/2023;Hg;0.09
SUE-03;1/11/2023;Pb;76.8
SUE-03;1/11/2023;CN ;0.5
SUE-03;1/11/2024;Ar;263.7
SUE-03;1/11/2024;Ba ;163
SUE-03;1/11/2024;Cd;0.8
SUE-03;1/11/2024;Cr tot;5.2
SUE-03;1/11/2024;Cr VI;0.3
SUE-03;1/11/2024;Hg;0.18
SUE-03;1/11/2024;Pb;97.3
SUE-03;1/11/2024;CN ;0.5
SUE-04;1/07/2020;Ar;984.6
SUE-04;1/07/2020;Ba ;28
SUE-04;1/07/2020;Cd;2.68
SUE-04;1/07/2020;Cr tot;8.7
SUE-04;1/07/2020;Cr VI;0.4
SUE-04;1/07/2020;Hg;0.31
SUE-04;1/07/2020;Pb;540.4
